id,title,box_office,country,genre,director,metascore,production,rating,IMDB_rating,rotten_tomatoes_rating,runtime,type,IMDB_votes
tt5225874,The Killer in the House,N/A,USA,"Action, Comedy, Horror",Nicholas Molinari,N/A,N/A,N/A,4.6,NA,97 min,movie,37
tt5313568,The Killing Hour,N/A,USA,Horror,N/A,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5164412,The Land,"$17,958",USA,Drama,Steven Caple Jr.,50,Low Spark Films,R,6.4,68%,104 min,movie,"1,540"
tt3441274,Alleycat,N/A,USA,Drama,"Greg Runnels, Mark Runnels",N/A,N/A,N/A,N/A,NA,85 min,movie,N/A
tt6522430,The Last Assignment/Ib Ntsais Muang 2,N/A,USA,Action,"Yeng Tha Her, Liam Lauj, Tswb Yang",N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
tt5176494,The Last Beautiful Girl,N/A,USA,"Comedy, Drama, Romance",James Christopher,N/A,N/A,N/A,N/A,NA,88 min,movie,N/A
tt5895892,The Last Descent,N/A,USA,Drama,Isaac Halasima,N/A,N/A,PG,5.3,NA,105 min,movie,295
tt5688108,The Last Disciples,N/A,USA,Drama,The Isabelle Brothers,N/A,N/A,N/A,N/A,NA,90 min,movie,N/A
tt8338640,The Last Disciples,N/A,USA,"Action, Comedy, Drama",Jurian Isabelle,N/A,N/A,N/A,N/A,NA,97 min,movie,N/A
tt3286560,The Last Face,N/A,USA,"Drama, Romance",Sean Penn,16,"Saban Films, Lionsgate",R,4.8,8%,130 min,movie,"4,052"
tt1273219,The Last Film Festival,"$3,506",USA,Comedy,Linda Yellen,N/A,N/A,R,4.0,NA,90 min,movie,174
tt6361186,The Last Fitness Instructor,N/A,USA,"Action, Mystery, Thriller",Michele Williams,N/A,N/A,N/A,N/A,NA,75 min,movie,N/A
tt4743562,The Last Heist,N/A,USA,"Action, Horror, Thriller",Mike Mendez,28,Benattar/Thomas Productions,TV-MA,3.5,11%,84 min,movie,"2,430"
tt5181234,The Last Hope,N/A,USA,Adventure,Hussain Ahmed,N/A,N/A,N/A,N/A,NA,N/A,movie,N/A
